iter	Passed	Remaining
0	16	16187
1	32	16225
2	47	15908
3	64	16029
4	80	15944
5	95	15764
6	109	15579
7	124	15470
8	140	15418
9	156	15470
10	172	15514
11	189	15567
12	205	15610
13	222	15644
14	238	15646
15	254	15629
16	271	15689
17	287	15698
18	303	15677
19	319	15647
20	334	15602
21	350	15584
22	371	15793
23	387	15760
24	404	15772
25	420	15744
26	437	15756
27	455	15805
28	473	15852
29	490	15857
30	508	15879
31	524	15873
32	541	15876
33	558	15855
34	574	15829
35	590	15802
36	607	15813
37	624	15809
38	641	15799
39	657	15791
40	675	15792
41	690	15751
42	706	15721
43	721	15672
44	736	15622
45	751	15576
46	766	15543
47	781	15507
48	797	15476
49	815	15493
50	831	15476
51	847	15456
52	864	15445
53	880	15430
54	896	15408
55	912	15381
56	928	15357
57	943	15330
58	959	15307
59	975	15277
60	990	15250
61	1007	15239
62	1023	15229
63	1039	15207
64	1057	15216
65	1074	15204
66	1090	15187
67	1106	15162
68	1122	15145
69	1139	15132
70	1154	15111
71	1170	15087
72	1186	15063
73	1201	15035
74	1217	15011
75	1233	14992
76	1249	14972
77	1265	14955
78	1282	14949
79	1297	14926
80	1314	14911
81	1330	14890
82	1345	14865
83	1361	14843
84	1376	14820
85	1392	14795
86	1407	14773
87	1424	14765
88	1442	14763
89	1460	14766
90	1479	14776
91	1497	14776
92	1515	14775
93	1532	14774
94	1549	14761
95	1566	14749
96	1582	14733
97	1599	14720
98	1615	14704
99	1631	14684
100	1646	14659
101	1663	14643
102	1685	14682
103	1702	14667
104	1719	14655
105	1735	14639
106	1752	14624
107	1768	14603
108	1783	14579
109	1799	14560
110	1815	14536
111	1830	14514
112	1845	14489
113	1861	14470
114	1880	14471
115	1896	14451
116	1913	14441
117	1930	14426
118	1947	14415
119	1963	14399
120	1979	14377
121	1994	14355
122	2009	14330
123	2024	14302
124	2038	14271
125	2053	14245
126	2068	14218
127	2084	14198
128	2100	14180
129	2115	14155
130	2130	14132
131	2146	14113
132	2162	14097
133	2178	14079
134	2194	14061
135	2210	14040
136	2225	14019
137	2241	14000
138	2256	13979
139	2272	13959
140	2288	13942
141	2305	13932
142	2321	13913
143	2338	13899
144	2354	13883
145	2371	13871
146	2388	13858
147	2405	13847
148	2422	13835
149	2440	13827
150	2456	13811
151	2472	13795
152	2489	13779
153	2505	13766
154	2521	13747
155	2538	13732
156	2553	13712
157	2570	13696
158	2586	13679
159	2602	13665
160	2618	13646
161	2634	13627
162	2649	13607
163	2665	13587
164	2681	13567
165	2697	13550
166	2713	13533
167	2730	13520
168	2745	13501
169	2761	13483
170	2777	13463
171	2793	13448
172	2809	13431
173	2824	13407
174	2839	13386
175	2854	13362
176	2868	13339
177	2883	13315
178	2898	13293
179	2914	13276
180	2929	13257
181	2945	13238
182	2960	13218
183	2976	13201
184	2994	13191
185	3010	13176
186	3027	13162
187	3043	13144
188	3059	13127
189	3074	13108
190	3090	13091
191	3106	13072
192	3122	13054
193	3138	13039
194	3154	13022
195	3171	13009
196	3187	12992
197	3203	12977
198	3219	12959
199	3235	12942
200	3251	12926
201	3267	12907
202	3282	12888
203	3298	12870
204	3314	12852
205	3329	12833
206	3345	12815
207	3362	12804
208	3380	12795
209	3397	12780
210	3414	12769
211	3431	12754
212	3448	12740
213	3464	12723
214	3481	12710
215	3497	12692
216	3513	12676
217	3528	12658
218	3544	12641
219	3560	12623
220	3576	12606
221	3593	12592
222	3610	12579
223	3629	12572
224	3646	12559
225	3663	12545
226	3680	12532
227	3696	12517
228	3712	12500
229	3729	12485
230	3744	12467
231	3761	12450
232	3777	12434
233	3793	12419
234	3809	12401
235	3825	12383
236	3841	12368
237	3858	12352
238	3875	12339
239	3891	12322
240	3907	12305
241	3923	12288
242	3938	12269
243	3954	12252
244	3971	12237
245	3989	12226
246	4006	12212
247	4022	12198
248	4038	12181
249	4058	12174
250	4074	12158
251	4089	12140
252	4105	12121
253	4120	12101
254	4136	12083
255	4150	12063
256	4166	12046
257	4181	12026
258	4197	12009
259	4212	11989
260	4227	11970
261	4243	11952
262	4258	11934
263	4275	11919
264	4291	11902
265	4308	11887
266	4323	11870
267	4339	11852
268	4355	11836
269	4373	11824
270	4391	11813
271	4409	11801
272	4425	11784
273	4441	11768
274	4456	11749
275	4473	11733
276	4489	11719
277	4506	11702
278	4522	11687
279	4538	11669
280	4554	11653
281	4570	11637
282	4586	11620
283	4603	11605
284	4619	11588
285	4634	11570
286	4650	11552
287	4666	11535
288	4681	11517
289	4696	11499
290	4713	11483
291	4730	11469
292	4746	11453
293	4762	11436
294	4779	11421
295	4797	11409
296	4812	11391
297	4828	11373
298	4843	11356
299	4859	11338
300	4874	11320
301	4890	11302
302	4905	11283
303	4920	11264
304	4935	11245
305	4950	11228
306	4966	11210
307	4981	11192
308	4996	11174
309	5012	11156
310	5028	11140
311	5043	11121
312	5058	11102
313	5074	11085
314	5089	11067
315	5104	11049
316	5120	11031
317	5136	11015
318	5152	10999
319	5168	10982
320	5184	10967
321	5200	10950
322	5217	10934
323	5233	10918
324	5249	10902
325	5265	10885
326	5280	10868
327	5296	10850
328	5311	10833
329	5328	10817
330	5345	10805
331	5371	10806
332	5388	10792
333	5404	10776
334	5421	10761
335	5440	10751
336	5457	10736
337	5474	10722
338	5490	10706
339	5506	10689
340	5522	10672
341	5537	10654
342	5554	10639
343	5570	10622
344	5587	10608
345	5603	10591
346	5619	10575
347	5635	10559
348	5651	10542
349	5670	10531
350	5686	10514
351	5702	10496
352	5717	10480
353	5733	10462
354	5748	10444
355	5764	10427
356	5780	10410
357	5796	10394
358	5812	10378
359	5827	10360
360	5845	10347
361	5861	10330
362	5879	10317
363	5895	10301
364	5912	10285
365	5928	10269
366	5944	10253
367	5960	10236
368	5979	10225
369	5996	10209
370	6013	10194
371	6029	10179
372	6045	10161
373	6060	10144
374	6077	10129
375	6100	10124
376	6117	10108
377	6132	10091
378	6148	10074
379	6164	10057
380	6180	10040
381	6196	10024
382	6212	10007
383	6228	9991
384	6244	9974
385	6259	9957
386	6275	9940
387	6290	9922
388	6307	9906
389	6324	9892
390	6342	9878
391	6361	9866
392	6378	9852
393	6395	9837
394	6412	9821
395	6428	9805
396	6444	9788
397	6460	9772
398	6476	9755
399	6493	9739
400	6509	9723
401	6526	9707
402	6543	9693
403	6559	9677
404	6575	9660
405	6590	9641
406	6605	9623
407	6620	9605
408	6635	9587
409	6650	9569
410	6664	9551
411	6679	9533
412	6694	9515
413	6710	9498
414	6725	9481
415	6741	9463
416	6757	9446
417	6773	9431
418	6789	9414
419	6806	9399
420	6822	9382
421	6837	9365
422	6853	9349
423	6869	9332
424	6885	9315
425	6900	9298
426	6916	9281
427	6932	9264
428	6948	9248
429	6964	9231
430	6979	9214
431	6997	9200
432	7014	9184
433	7030	9168
434	7046	9151
435	7062	9135
436	7078	9118
437	7093	9101
438	7108	9084
439	7124	9068
440	7140	9050
441	7155	9033
442	7171	9016
443	7187	9000
444	7203	8983
445	7219	8968
446	7235	8951
447	7251	8934
448	7266	8917
449	7282	8900
450	7300	8886
451	7317	8871
452	7334	8856
453	7350	8840
454	7367	8824
455	7384	8809
456	7400	8793
457	7416	8777
458	7433	8761
459	7449	8744
460	7464	8727
461	7480	8710
462	7495	8694
463	7511	8677
464	7527	8661
465	7543	8643
466	7558	8626
467	7574	8610
468	7590	8593
469	7606	8577
470	7622	8561
471	7639	8545
472	7654	8528
473	7670	8512
474	7693	8503
475	7709	8487
476	7725	8470
477	7739	8452
478	7754	8434
479	7769	8416
480	7783	8398
481	7798	8380
482	7813	8363
483	7829	8346
484	7845	8330
485	7859	8312
486	7875	8296
487	7891	8279
488	7907	8263
489	7924	8247
490	7939	8231
491	7956	8215
492	7972	8199
493	7990	8184
494	8007	8169
495	8024	8154
496	8041	8138
497	8058	8123
498	8075	8108
499	8093	8093
500	8109	8077
501	8125	8060
502	8141	8044
503	8157	8027
504	8172	8011
505	8188	7994
506	8203	7977
507	8220	7961
508	8237	7945
509	8253	7930
510	8270	7914
511	8287	7898
512	8304	7883
513	8320	7867
514	8336	7851
515	8353	7835
516	8369	7819
517	8385	7802
518	8401	7785
519	8417	7769
520	8433	7753
521	8449	7736
522	8465	7721
523	8482	7705
524	8498	7689
525	8514	7672
526	8530	7656
527	8545	7639
528	8561	7622
529	8576	7605
530	8592	7589
531	8608	7572
532	8623	7556
533	8640	7539
534	8656	7524
535	8673	7508
536	8689	7492
537	8706	7476
538	8722	7460
539	8738	7443
540	8754	7427
541	8769	7410
542	8784	7393
543	8799	7375
544	8813	7358
545	8828	7340
546	8843	7323
547	8858	7306
548	8873	7289
549	8889	7272
550	8905	7256
551	8921	7240
552	8938	7224
553	8954	7208
554	8969	7191
555	8985	7175
556	9002	7159
557	9018	7143
558	9034	7127
559	9050	7111
560	9066	7094
561	9082	7078
562	9099	7062
563	9116	7047
564	9131	7030
565	9147	7014
566	9163	6997
567	9178	6980
568	9193	6964
569	9209	6947
570	9225	6930
571	9241	6914
572	9257	6898
573	9274	6883
574	9291	6867
575	9308	6852
576	9325	6836
577	9341	6820
578	9357	6804
579	9373	6787
580	9396	6776
581	9411	6759
582	9427	6743
583	9442	6726
584	9458	6709
585	9474	6693
586	9490	6677
587	9506	6661
588	9523	6645
589	9539	6629
590	9555	6612
591	9571	6596
592	9587	6580
593	9602	6563
594	9618	6547
595	9633	6530
596	9649	6513
597	9665	6497
598	9680	6480
599	9696	6464
600	9712	6447
601	9728	6431
602	9744	6415
603	9760	6399
604	9775	6382
605	9790	6365
606	9805	6348
607	9819	6331
608	9835	6314
609	9849	6297
610	9864	6280
611	9879	6263
612	9894	6246
613	9909	6229
614	9925	6213
615	9941	6197
616	9958	6181
617	9974	6165
618	9991	6150
619	10007	6133
620	10023	6117
621	10039	6101
622	10055	6084
623	10071	6068
624	10086	6052
625	10103	6036
626	10119	6020
627	10136	6004
628	10153	5988
629	10169	5972
630	10187	5957
631	10204	5941
632	10220	5925
633	10237	5910
634	10257	5896
635	10274	5880
636	10290	5864
637	10306	5847
638	10322	5831
639	10339	5815
640	10355	5799
641	10371	5783
642	10387	5767
643	10404	5751
644	10420	5735
645	10436	5719
646	10455	5704
647	10471	5688
648	10488	5672
649	10503	5655
650	10519	5639
651	10534	5622
652	10549	5606
653	10565	5589
654	10581	5573
655	10597	5557
656	10613	5540
657	10628	5524
658	10644	5507
659	10660	5491
660	10675	5475
661	10691	5458
662	10706	5442
663	10721	5425
664	10735	5408
665	10750	5391
666	10765	5374
667	10780	5358
668	10799	5343
669	10815	5327
670	10830	5310
671	10845	5293
672	10861	5277
673	10876	5260
674	10892	5244
675	10908	5228
676	10923	5211
677	10939	5195
678	10955	5179
679	10970	5162
680	10987	5146
681	11004	5130
682	11020	5115
683	11039	5099
684	11054	5083
685	11070	5067
686	11085	5050
687	11101	5034
688	11117	5018
689	11133	5001
690	11148	4985
691	11164	4969
692	11179	4952
693	11194	4936
694	11212	4920
695	11229	4904
696	11248	4889
697	11264	4873
698	11281	4857
699	11297	4841
700	11313	4825
701	11329	4809
702	11345	4793
703	11361	4776
704	11376	4760
705	11392	4744
706	11408	4727
707	11426	4712
708	11442	4696
709	11459	4680
710	11475	4664
711	11491	4648
712	11507	4631
713	11523	4615
714	11538	4599
715	11554	4583
716	11570	4566
717	11586	4550
718	11601	4534
719	11617	4517
720	11632	4501
721	11648	4485
722	11664	4469
723	11680	4452
724	11697	4436
725	11713	4420
726	11729	4404
727	11744	4388
728	11759	4371
729	11774	4354
730	11788	4338
731	11803	4321
732	11817	4304
733	11832	4288
734	11847	4271
735	11862	4255
736	11879	4239
737	11894	4222
738	11910	4206
739	11926	4190
740	11942	4174
741	11958	4158
742	11974	4141
743	11990	4125
744	12007	4109
745	12023	4093
746	12039	4077
747	12054	4061
748	12070	4045
749	12087	4029
750	12103	4013
751	12119	3996
752	12135	3980
753	12150	3964
754	12166	3948
755	12182	3931
756	12198	3915
757	12214	3899
758	12231	3883
759	12248	3868
760	12266	3852
761	12283	3836
762	12300	3820
763	12317	3804
764	12334	3789
765	12351	3773
766	12368	3757
767	12385	3741
768	12402	3725
769	12418	3709
770	12435	3693
771	12451	3677
772	12467	3661
773	12483	3644
774	12500	3629
775	12517	3613
776	12533	3597
777	12549	3580
778	12564	3564
779	12580	3548
780	12596	3532
781	12611	3515
782	12627	3499
783	12643	3483
784	12658	3466
785	12673	3450
786	12690	3434
787	12707	3418
788	12723	3402
789	12739	3386
790	12755	3370
791	12769	3353
792	12784	3337
793	12799	3320
794	12814	3304
795	12829	3287
796	12843	3271
797	12858	3254
798	12873	3238
799	12888	3222
800	12905	3206
801	12921	3190
802	12938	3174
803	12954	3158
804	12970	3141
805	12986	3125
806	13003	3109
807	13019	3093
808	13035	3077
809	13050	3061
810	13066	3045
811	13082	3028
812	13097	3012
813	13113	2996
814	13129	2980
815	13146	2964
816	13163	2948
817	13179	2932
818	13196	2916
819	13213	2900
820	13233	2885
821	13249	2869
822	13265	2853
823	13282	2836
824	13298	2820
825	13314	2804
826	13330	2788
827	13346	2772
828	13362	2756
829	13379	2740
830	13395	2724
831	13410	2707
832	13427	2691
833	13443	2675
834	13458	2659
835	13475	2643
836	13490	2627
837	13507	2611
838	13522	2594
839	13539	2578
840	13554	2562
841	13570	2546
842	13586	2530
843	13602	2514
844	13618	2498
845	13634	2481
846	13649	2465
847	13665	2449
848	13680	2433
849	13696	2417
850	13712	2400
851	13727	2384
852	13742	2368
853	13758	2352
854	13773	2335
855	13789	2319
856	13804	2303
857	13819	2287
858	13835	2270
859	13850	2254
860	13865	2238
861	13880	2222
862	13896	2206
863	13912	2189
864	13927	2173
865	13943	2157
866	13959	2141
867	13975	2125
868	13993	2109
869	14011	2093
870	14027	2077
871	14044	2061
872	14060	2045
873	14076	2029
874	14095	2013
875	14111	1997
876	14126	1981
877	14142	1965
878	14158	1948
879	14175	1932
880	14192	1917
881	14209	1901
882	14227	1885
883	14244	1869
884	14260	1853
885	14276	1836
886	14291	1820
887	14307	1804
888	14323	1788
889	14339	1772
890	14357	1756
891	14372	1740
892	14388	1724
893	14404	1707
894	14420	1691
895	14438	1675
896	14455	1659
897	14471	1643
898	14488	1627
899	14504	1611
900	14520	1595
901	14536	1579
902	14552	1563
903	14568	1547
904	14585	1531
905	14603	1515
906	14619	1498
907	14634	1482
908	14649	1466
909	14664	1450
910	14679	1434
911	14694	1417
912	14709	1401
913	14724	1385
914	14739	1369
915	14754	1353
916	14770	1336
917	14786	1320
918	14801	1304
919	14818	1288
920	14833	1272
921	14850	1256
922	14867	1240
923	14883	1224
924	14899	1208
925	14917	1192
926	14932	1175
927	14948	1159
928	14964	1143
929	14980	1127
930	14995	1111
931	15011	1095
932	15027	1079
933	15043	1063
934	15061	1047
935	15078	1030
936	15094	1014
937	15110	998
938	15126	982
939	15142	966
940	15159	950
941	15177	934
942	15193	918
943	15209	902
944	15225	886
945	15241	870
946	15258	853
947	15274	837
948	15290	821
949	15307	805
950	15322	789
951	15341	773
952	15357	757
953	15373	741
954	15388	725
955	15404	708
956	15420	692
957	15436	676
958	15452	660
959	15468	644
960	15485	628
961	15502	612
962	15517	596
963	15533	580
964	15549	563
965	15564	547
966	15580	531
967	15596	515
968	15612	499
969	15627	483
970	15642	467
971	15657	451
972	15672	434
973	15687	418
974	15703	402
975	15719	386
976	15734	370
977	15748	354
978	15763	338
979	15778	322
980	15793	305
981	15809	289
982	15824	273
983	15841	257
984	15858	241
985	15875	225
986	15892	209
987	15908	193
988	15924	177
989	15939	161
990	15955	144
991	15972	128
992	15988	112
993	16004	96
994	16019	80
995	16035	64
996	16050	48
997	16066	32
998	16082	16
999	16098	0
