iter	RMSE
0	2.291177532
1	2.197643987
2	2.104697691
3	2.022114012
4	1.941794042
5	1.864524962
6	1.793324926
7	1.72238195
8	1.655757452
9	1.596227488
10	1.534787946
11	1.480991516
12	1.428515086
13	1.376211205
14	1.327735634
15	1.281881077
16	1.239974604
17	1.199096568
18	1.160662306
19	1.124522328
20	1.088620944
21	1.054267642
22	1.02429583
23	0.9948895178
24	0.9676194103
25	0.9414524943
26	0.9166398921
27	0.8938999452
28	0.8722660634
29	0.8531509601
30	0.8323573411
31	0.8161605952
32	0.7987517936
33	0.7828292149
34	0.7670526515
35	0.7518676574
36	0.7385883246
37	0.7265170028
38	0.7133884998
39	0.7024984144
40	0.6916574546
41	0.6800610176
42	0.6712865687
43	0.6606013015
44	0.6527110522
45	0.6450298257
46	0.6360121018
47	0.6292056233
48	0.6211907542
49	0.6139507097
50	0.6082270185
51	0.6013664131
52	0.5958166609
53	0.5907485361
54	0.5861247167
55	0.581272887
56	0.5767742254
57	0.5725424458
58	0.5686285021
59	0.5637158387
60	0.5597199934
61	0.5560962753
62	0.5530355176
63	0.5491953657
64	0.5460553101
65	0.5430767579
66	0.539614062
67	0.5365681884
68	0.5342746857
69	0.5306785609
70	0.5277561462
71	0.5249316274
72	0.5223327868
73	0.520071621
74	0.5173798351
75	0.51573679
76	0.5142890362
77	0.5120600578
78	0.5100174141
79	0.5080054241
80	0.5064400177
81	0.5047289812
82	0.5032431653
83	0.5016689568
84	0.4996216687
85	0.4982143637
86	0.4963964972
87	0.4946701863
88	0.492770981
89	0.4903965557
90	0.4890012783
91	0.4874958695
92	0.4862846369
93	0.4849092247
94	0.4835623357
95	0.4821221478
96	0.4812748785
97	0.4797306621
98	0.4785124425
99	0.4772719747
100	0.4758336796
101	0.4742833414
102	0.4732133417
103	0.4720986067
104	0.4707378734
105	0.4695166526
106	0.4685609845
107	0.4677957184
108	0.4668050866
109	0.4656881769
110	0.4645784738
111	0.4637492296
112	0.4626379137
113	0.4619319334
114	0.4608671042
115	0.4600889895
116	0.4588029452
117	0.4578935917
118	0.4567633553
119	0.4555065512
120	0.4545069831
121	0.453829131
122	0.4527775813
123	0.4518439998
124	0.4510664024
125	0.4503206646
126	0.4494355639
127	0.4488781062
128	0.4479960128
129	0.4471160504
130	0.4462390269
131	0.4454415732
132	0.4444607506
133	0.4438498163
134	0.4431048456
135	0.4424362411
136	0.4417045648
137	0.4410558196
138	0.4403670836
139	0.4396118062
140	0.4391739723
141	0.4384791198
142	0.4373481682
143	0.4362314739
144	0.4355272974
145	0.4347850117
146	0.4340800969
147	0.4331945255
148	0.4325635811
149	0.431878669
150	0.4309735271
151	0.4300082205
152	0.4290045797
153	0.4280221818
154	0.4274312353
155	0.4267449723
156	0.4260628323
157	0.4252547486
158	0.4245861998
159	0.4240267996
160	0.4234242829
161	0.4227906485
162	0.4221177237
163	0.4208991992
164	0.4202689995
165	0.4193496647
166	0.4185735804
167	0.4181133686
168	0.417143035
169	0.4162889787
170	0.4156820694
171	0.4152415434
172	0.4146689873
173	0.4138595656
174	0.4130995587
175	0.4121615042
176	0.411579836
177	0.411060305
178	0.4101408734
179	0.4093181177
180	0.4083311049
181	0.4076757228
182	0.4070429851
183	0.4059660642
184	0.4054680346
185	0.404987495
186	0.4044067265
187	0.4037193694
188	0.4031244972
189	0.4024959396
190	0.4017197878
191	0.4010449315
192	0.4003400778
193	0.3995883679
194	0.3991558153
195	0.3984565781
196	0.3978393984
197	0.3971872864
198	0.3961480425
199	0.3954161731
200	0.3944256185
201	0.3939035655
202	0.393493308
203	0.3931274644
204	0.3926148192
205	0.3923143868
206	0.3918669134
207	0.3911012503
208	0.3903387802
209	0.3895208802
210	0.3886735365
211	0.3875807233
212	0.3868809882
213	0.3864629254
214	0.3859370249
215	0.3853939235
216	0.3848747474
217	0.3844258342
218	0.3837237667
219	0.3831252957
220	0.3825323569
221	0.3819172672
222	0.3812138111
223	0.3806760048
224	0.3802140987
225	0.3793948535
226	0.3786010634
227	0.3775764135
228	0.3770713456
229	0.3764201184
230	0.3756717894
231	0.3750586327
232	0.3742865094
233	0.3737944781
234	0.3729886896
235	0.3723304462
236	0.3718742969
237	0.3712806563
238	0.3706312108
239	0.3700445986
240	0.3691306005
241	0.3687184757
242	0.3680641977
243	0.367676735
244	0.3674090893
245	0.366969979
246	0.3660537021
247	0.3655611135
248	0.3650409214
249	0.3645279054
250	0.3640216907
251	0.3636455469
252	0.3628245764
253	0.3622893663
254	0.3618377145
255	0.3610357969
256	0.3602498877
257	0.360090136
258	0.3593447553
259	0.3587511832
260	0.3580846411
261	0.3576070795
262	0.3572053527
263	0.356639096
264	0.3558956517
265	0.3553422361
266	0.3548181193
267	0.3544483642
268	0.3540740883
269	0.3538217434
270	0.3532128682
271	0.3526477354
272	0.352239046
273	0.3518560788
274	0.3512678512
275	0.3508049154
276	0.3504130363
277	0.3501227032
278	0.3494961218
279	0.348892412
280	0.348602994
281	0.3482018258
282	0.3475125865
283	0.3467499457
284	0.3464098585
285	0.3461073014
286	0.3454950239
287	0.3449530432
288	0.3446001058
289	0.3440495112
290	0.3434307909
291	0.3433029545
292	0.3425902478
293	0.342185573
294	0.3417060296
295	0.3408312411
296	0.3403864923
297	0.3399780072
298	0.3395814425
299	0.3392292274
300	0.3386132529
301	0.33803228
302	0.3373718518
303	0.3367727064
304	0.3363533814
305	0.3357079669
306	0.3351281195
307	0.3347512514
308	0.3341836144
309	0.3337281797
310	0.3330489107
311	0.3324465015
312	0.3319999323
313	0.331761529
314	0.3312272932
315	0.3308433115
316	0.3301908018
317	0.3295421437
318	0.3294311193
319	0.3288548247
320	0.3282990654
321	0.327623635
322	0.3275126986
323	0.3272266686
324	0.3268352275
325	0.326562752
326	0.3260383105
327	0.3255981315
328	0.3252162045
329	0.3249485002
330	0.3245436404
331	0.3239710818
332	0.3234372529
333	0.3231466054
334	0.3228373813
335	0.3222267453
336	0.3216430856
337	0.3212954623
338	0.3208891484
339	0.3205860425
340	0.3202338535
341	0.3199178702
342	0.3196020408
343	0.3192655402
344	0.3188769234
345	0.3183392417
346	0.3178726232
347	0.3173690145
348	0.3168814765
349	0.3164875592
350	0.3158704758
351	0.3151990169
352	0.3148569273
353	0.314542081
354	0.3141495403
355	0.3139984453
356	0.3136548546
357	0.3134329176
358	0.3128774203
359	0.3127076851
360	0.3122676978
361	0.3118820242
362	0.3110633503
363	0.3108600322
364	0.3104809092
365	0.3103187413
366	0.3097652211
367	0.3093237553
368	0.3087680689
369	0.308460251
370	0.3082959714
371	0.3080635525
372	0.3075239216
373	0.3071670051
374	0.3067356079
375	0.3062445163
376	0.3059177497
377	0.3053697472
378	0.3050930898
379	0.3047035318
380	0.3044294009
381	0.3042879354
382	0.3038711442
383	0.3035218402
384	0.3034207541
385	0.3029940075
386	0.3025220648
387	0.3021563466
388	0.3017481149
389	0.301449533
390	0.3010419874
391	0.3003954805
392	0.2999718652
393	0.2993143241
394	0.2988331491
395	0.2984736842
396	0.2978252312
397	0.2975064458
398	0.2970515627
399	0.2968064925
400	0.2965406768
401	0.2960342258
402	0.2957585889
403	0.2952543705
404	0.2948732359
405	0.2946947961
406	0.2942777704
407	0.2937880309
408	0.2934780634
409	0.2933327119
410	0.2930331987
411	0.292629357
412	0.2921114842
413	0.2917727067
414	0.2913536383
415	0.2909613006
416	0.2906533587
417	0.2902932838
418	0.2900309581
419	0.2896122991
420	0.289115
421	0.2887144543
422	0.2883819755
423	0.2882271553
424	0.2879024434
425	0.2877146393
426	0.287559279
427	0.2873099451
428	0.2868903691
429	0.2862746681
430	0.2860555265
431	0.2854820538
432	0.2851283984
433	0.2848569233
434	0.2845509161
435	0.2842508182
436	0.2838626308
437	0.2834340943
438	0.2830541741
439	0.282764017
440	0.2823057899
441	0.2819339742
442	0.281556013
443	0.281244325
444	0.280832037
445	0.2804974105
446	0.2801886758
447	0.2799149702
448	0.2796438402
449	0.2789688158
450	0.2785031472
451	0.2781863445
452	0.2778536623
453	0.2775173475
454	0.2772479752
455	0.2768558937
456	0.2765683543
457	0.2762946347
458	0.2760303519
459	0.2757301144
460	0.275289112
461	0.2751086527
462	0.2747341475
463	0.2744116413
464	0.2739988901
465	0.2737970626
466	0.2735533116
467	0.2732388126
468	0.2729063526
469	0.2724506952
470	0.2719842603
471	0.2716195269
472	0.2713394917
473	0.2709996843
474	0.2707912477
475	0.2702016511
476	0.2698410778
477	0.269569677
478	0.2689816309
479	0.2686905655
480	0.2683670525
481	0.2679844686
482	0.267618977
483	0.2673684791
484	0.2672815808
485	0.2670283299
486	0.2667551837
487	0.2664872153
488	0.2661116927
489	0.265860832
490	0.2655874879
491	0.2655339009
492	0.2653809896
493	0.2649911068
494	0.2644974786
495	0.2641160848
496	0.2636853282
497	0.2634505465
498	0.2632256135
499	0.2629235813
500	0.2623542323
501	0.2620452603
502	0.2618096499
503	0.2615834231
504	0.2610917632
505	0.2609006149
506	0.2603317942
507	0.2600486311
508	0.2599191584
509	0.2597293174
510	0.259345276
511	0.2589948291
512	0.2586231375
513	0.2581962635
514	0.2576765671
515	0.2572427902
516	0.2568572789
517	0.2564217978
518	0.2561752791
519	0.2557781065
520	0.2555405136
521	0.2553102365
522	0.2547512951
523	0.254377237
524	0.2540769655
525	0.2534319542
526	0.253031456
527	0.2527106865
528	0.2524735238
529	0.2523644573
530	0.2518803348
531	0.251757167
532	0.2515162157
533	0.2510992761
534	0.2508479885
535	0.2505349015
536	0.2503002682
537	0.2501635134
538	0.2497678416
539	0.249580936
540	0.2492774468
541	0.2490418537
542	0.2487285273
543	0.2485806615
544	0.2483074104
545	0.2480685225
546	0.2477023744
547	0.2474016745
548	0.2471261621
549	0.2467420339
550	0.2464399659
551	0.246197975
552	0.2459026437
553	0.2458626024
554	0.2457643969
555	0.2454283164
556	0.2452346204
557	0.244877463
558	0.2446401999
559	0.2443096239
560	0.2438932477
561	0.2435473048
562	0.24321627
563	0.242939676
564	0.2426298584
565	0.2422179457
566	0.2419485626
567	0.2415461197
568	0.2411817572
569	0.2408818829
570	0.2403911594
571	0.2400475521
572	0.2396996226
573	0.239362318
574	0.2390532681
575	0.2387478164
576	0.2384865623
577	0.2381329577
578	0.2377744669
579	0.2375315946
580	0.2373844388
581	0.2370463167
582	0.2368120626
583	0.2366037919
584	0.2363393825
585	0.2360202145
586	0.2357705294
587	0.235483374
588	0.2352669015
589	0.2349547242
590	0.2347784277
591	0.2345487138
592	0.2343084601
593	0.2340720541
594	0.2336766997
595	0.2333845604
596	0.2330569269
597	0.2328236328
598	0.2327702921
599	0.2326278682
600	0.2323579431
601	0.232162914
