iter	Passed	Remaining
0	19	19503
1	37	18537
2	54	18058
3	72	18006
4	89	17888
5	107	17849
6	125	17791
7	142	17695
8	162	17898
9	182	18028
10	200	18038
11	219	18069
12	239	18197
13	258	18173
14	276	18187
15	295	18170
16	314	18159
17	332	18141
18	351	18126
19	369	18100
20	387	18066
21	406	18053
22	425	18056
23	444	18058
24	463	18083
25	482	18072
26	501	18060
27	520	18073
28	539	18069
29	558	18047
30	576	18025
31	595	18001
32	613	17978
33	631	17955
34	651	17971
35	671	17977
36	691	17985
37	710	17986
38	729	17966
39	748	17956
40	767	17941
41	785	17918
42	803	17889
43	821	17852
44	840	17834
45	858	17808
46	877	17785
47	895	17764
48	913	17734
49	932	17708
50	950	17686
51	968	17655
52	986	17626
53	1004	17590
54	1021	17557
55	1039	17529
56	1057	17491
57	1075	17464
58	1093	17439
59	1111	17412
60	1128	17379
61	1147	17354
62	1166	17352
63	1185	17340
64	1204	17320
65	1222	17298
66	1240	17280
67	1259	17258
68	1277	17232
69	1294	17203
70	1313	17183
71	1331	17161
72	1349	17138
73	1367	17115
74	1386	17097
75	1404	17076
76	1423	17057
77	1441	17043
78	1460	17024
79	1478	17006
80	1497	16989
81	1515	16966
82	1534	16948
83	1552	16926
84	1570	16900
85	1588	16881
86	1606	16857
87	1624	16836
88	1644	16837
89	1664	16825
90	1683	16814
91	1703	16809
92	1722	16797
93	1741	16785
94	1759	16764
95	1777	16742
96	1795	16718
97	1814	16700
98	1832	16681
99	1851	16660
100	1869	16640
101	1887	16621
102	1905	16598
103	1923	16575
104	1942	16557
105	1960	16532
106	1977	16504
107	1995	16478
108	2012	16454
109	2030	16425
110	2047	16399
111	2065	16374
112	2083	16352
113	2100	16325
114	2118	16300
115	2136	16278
116	2155	16265
117	2174	16251
118	2192	16232
119	2210	16212
120	2228	16191
121	2246	16170
122	2264	16148
123	2283	16130
124	2301	16112
125	2319	16090
126	2337	16068
127	2355	16049
128	2374	16031
129	2392	16014
130	2411	15996
131	2430	15981
132	2448	15961
133	2466	15942
134	2485	15923
135	2504	15909
136	2522	15892
137	2540	15871
138	2559	15853
139	2577	15832
140	2595	15813
141	2613	15793
142	2633	15783
143	2661	15820
144	2681	15809
145	2700	15794
146	2719	15778
147	2737	15759
148	2756	15741
149	2773	15719
150	2792	15700
151	2810	15681
152	2829	15663
153	2847	15645
154	2866	15626
155	2884	15606
156	2903	15589
157	2920	15565
158	2938	15540
159	2955	15517
160	2972	15491
161	2989	15466
162	3007	15440
163	3023	15414
164	3041	15389
165	3058	15364
166	3075	15342
167	3093	15318
168	3111	15297
169	3128	15276
170	3146	15256
171	3164	15234
172	3183	15215
173	3201	15197
174	3219	15179
175	3239	15164
176	3257	15147
177	3276	15131
178	3295	15114
179	3314	15097
180	3332	15079
181	3351	15062
182	3369	15044
183	3387	15024
184	3405	15004
185	3424	14988
186	3442	14967
187	3461	14948
188	3479	14929
189	3498	14912
190	3517	14898
191	3535	14880
192	3554	14861
193	3572	14842
194	3590	14824
195	3610	14808
196	3629	14793
197	3648	14779
198	3667	14763
199	3686	14747
200	3706	14732
201	3725	14718
202	3744	14701
203	3762	14682
204	3781	14664
205	3799	14645
206	3817	14624
207	3836	14606
208	3855	14592
209	3874	14574
210	3893	14558
211	3912	14542
212	3931	14524
213	3948	14504
214	3966	14481
215	3984	14460
216	4002	14441
217	4020	14420
218	4036	14396
219	4054	14376
220	4072	14353
221	4089	14330
222	4106	14309
223	4125	14292
224	4143	14272
225	4161	14253
226	4180	14234
227	4198	14214
228	4216	14197
229	4237	14187
230	4255	14167
231	4273	14147
232	4291	14127
233	4309	14108
234	4328	14089
235	4346	14069
236	4364	14051
237	4382	14032
238	4401	14014
239	4419	13994
240	4437	13974
241	4455	13955
242	4474	13939
243	4493	13921
244	4511	13902
245	4529	13883
246	4548	13865
247	4566	13845
248	4584	13826
249	4604	13812
250	4623	13796
251	4643	13782
252	4662	13766
253	4681	13748
254	4699	13731
255	4718	13712
256	4737	13695
257	4755	13676
258	4773	13657
259	4792	13639
260	4810	13621
261	4829	13602
262	4847	13584
263	4865	13565
264	4883	13544
265	4901	13524
266	4918	13503
267	4935	13481
268	4953	13459
269	4970	13438
270	4987	13416
271	5004	13394
272	5021	13372
273	5038	13351
274	5056	13330
275	5073	13308
276	5090	13286
277	5108	13266
278	5126	13247
279	5144	13227
280	5162	13208
281	5180	13189
282	5198	13171
283	5217	13153
284	5235	13134
285	5253	13116
286	5272	13097
287	5290	13079
288	5308	13060
289	5326	13041
290	5344	13022
291	5363	13004
292	5382	12987
293	5402	12972
294	5421	12955
295	5439	12938
296	5459	12922
297	5477	12903
298	5496	12886
299	5515	12869
300	5534	12851
301	5552	12833
302	5570	12814
303	5591	12800
304	5610	12783
305	5629	12766
306	5648	12750
307	5667	12733
308	5686	12716
309	5704	12697
310	5723	12679
311	5741	12661
312	5762	12648
313	5781	12631
314	5800	12614
315	5819	12597
316	5839	12580
317	5857	12561
318	5875	12543
319	5894	12525
320	5912	12506
321	5929	12485
322	5947	12464
323	5964	12444
324	5982	12425
325	5999	12403
326	6016	12383
327	6034	12362
328	6051	12343
329	6069	12322
330	6086	12302
331	6104	12282
332	6122	12263
333	6140	12244
334	6158	12225
335	6177	12207
336	6195	12188
337	6213	12170
338	6232	12152
339	6250	12133
340	6268	12114
341	6286	12095
342	6304	12076
343	6323	12058
344	6340	12038
345	6359	12019
346	6377	12001
347	6395	11982
348	6413	11962
349	6431	11944
350	6449	11925
351	6467	11906
352	6486	11888
353	6504	11869
354	6522	11850
355	6540	11832
356	6559	11813
357	6579	11798
358	6598	11782
359	6618	11766
360	6638	11750
361	6657	11732
362	6676	11716
363	6695	11698
364	6713	11679
365	6732	11661
366	6750	11643
367	6768	11624
368	6787	11607
369	6805	11587
370	6823	11567
371	6840	11547
372	6857	11527
373	6874	11507
374	6891	11486
375	6909	11466
376	6926	11446
377	6944	11426
378	6961	11406
379	6979	11387
380	6997	11369
381	7015	11350
382	7033	11330
383	7052	11313
384	7070	11294
385	7088	11275
386	7106	11256
387	7124	11237
388	7142	11218
389	7160	11199
390	7178	11180
391	7196	11162
392	7215	11143
393	7232	11124
394	7250	11105
395	7269	11087
396	7287	11069
397	7305	11049
398	7323	11030
399	7341	11012
400	7360	10994
401	7379	10977
402	7398	10959
403	7416	10941
404	7435	10923
405	7453	10905
406	7472	10886
407	7490	10867
408	7508	10849
409	7526	10830
410	7544	10812
411	7565	10797
412	7586	10782
413	7606	10766
414	7626	10750
415	7649	10739
416	7668	10721
417	7687	10704
418	7706	10686
419	7724	10667
420	7743	10649
421	7761	10631
422	7780	10612
423	7798	10594
424	7817	10576
425	7835	10557
426	7853	10538
427	7872	10520
428	7890	10502
429	7909	10485
430	7927	10465
431	7944	10445
432	7962	10426
433	7980	10407
434	7997	10387
435	8014	10366
436	8032	10347
437	8049	10328
438	8066	10308
439	8084	10288
440	8102	10269
441	8119	10250
442	8137	10231
443	8155	10212
444	8173	10194
445	8191	10175
446	8209	10156
447	8228	10138
448	8246	10119
449	8264	10101
450	8283	10083
451	8301	10064
452	8319	10046
453	8337	10027
454	8356	10009
455	8374	9990
456	8393	9972
457	8411	9953
458	8429	9935
459	8447	9917
460	8466	9899
461	8484	9880
462	8503	9862
463	8521	9843
464	8539	9824
465	8558	9807
466	8578	9790
467	8597	9773
468	8616	9755
469	8635	9737
470	8654	9720
471	8673	9702
472	8691	9684
473	8709	9665
474	8727	9646
475	8746	9628
476	8764	9610
477	8783	9591
478	8801	9572
479	8819	9554
480	8837	9536
481	8855	9517
482	8873	9497
483	8890	9477
484	8907	9458
485	8924	9438
